HomeTeam,FTHG,HShots,HSTarget,Hcorners,Afouls,AwayTeam,FTAG,Ashots,ASTarget,Acorners,Hfouls
Cardiff,2,14,4,15,8,Manchester United,2,16,5,14,2
Cardiff,0,7,1,9,5,Manchester United,2,17,5,9,5
Cardiff,3,9,6,2,8,Manchester City,2,16,5,9,3
Cardiff,2,7,6,5,10,Manchester City,4,24,9,6,7
Cardiff,1,10,4,7,8,Chelsea,2,28,7,9,3
Cardiff,1,13,3,5,6,Chelsea,4,20,7,12,9
Cardiff,0,19,7,7,7,West Ham,2,10,3,16,8
Cardiff,0,12,1,7,4,West Ham,2,18,4,10,3
Cardiff,0,9,0,11,3,Southampton,3,11,6,13,6
Cardiff,1,6,4,7,5,Southampton,0,19,7,9,5
Cardiff,0,4,1,11,5,Everton,0,13,3,9,4
Cardiff,1,10,3,10,10,Everton,2,19,6,10,5
Cardiff,3,9,3,14,6,Liverpool,6,19,9,11,4
Cardiff,1,10,3,13,9,Liverpool,3,27,7,11,5
Cardiff,0,10,4,6,3,Arsenal,3,15,6,8,3
Cardiff,0,8,2,11,12,Arsenal,2,28,6,6,2
Cardiff,0,6,0,5,12,Tottenham,1,29,12,7,2
Cardiff,0,8,2,12,4,Tottenham,1,15,6,11,7
Cardiff,1,8,2,11,3,Newcastle United,2,20,10,8,3
Cardiff,0,16,3,6,10,Newcastle United,3,22,6,9,6
Cardiff,3,19,9,9,6,Fulham,1,14,6,12,7
Cardiff,2,22,4,13,11,Fulham,1,9,5,14,10
Cardiff,0,13,4,5,3,Crystal Palace,3,13,8,13,10
Cardiff,0,10,2,12,8,Crystal Palace,2,19,5,9,3
